id,name,city,rating,rating_count,cuisine,cost,link
488995,Chennai Banana Leaf,Guwahati,4,100,South Indian,300,https://www.swiggy.com/restaurants/chennai-banana-leaf-paltan-bazaar-guwahati-488995
489006,Amritsari Dhaba,Pune,3.3,20,North Indian,300,https://www.swiggy.com/restaurants/amritsari-dhaba-bibwewadi-pune-489006
489011,Karim's,Adityapur,2.7,20,Snacks,500,https://www.swiggy.com/restaurants/karims-bistupur-jamshedpur-489011
489012,Desi chaskka,Mumbai,3,20,North Indian,400,https://www.swiggy.com/restaurants/desi-chaskka-vasai-mumbai-489012
489013,Chung fa,Jorhat,2.7,20,Chinese,200,https://www.swiggy.com/restaurants/chung-fa-atilagaon-jorhat-489013
489052,Hollywood Pasta - Creamy Italian Taste,Bikaner,4,50,Italian,200,https://www.swiggy.com/restaurants/hollywood-pasta-creamy-italian-taste-cyber-city-gurgaon-489052
489067,HOTEL SHIBA,Ranaghat-wb,3.3,20,Indian,300,https://www.swiggy.com/restaurants/hotel-shiba-ranaghat-wb-ranaghat-wb-489067
489069,La pino'z Pizza,Pune,3.5,100,Pizzas,400,https://www.swiggy.com/restaurants/la-pinoz-pizza-kondhwa-salunke-vihar-pune-489069
489072,Punjabi Bites,Mathura,2.9,20,Indian,250,https://www.swiggy.com/restaurants/punjabi-bites-shankar-vihar-mathura-489072
489088,The Momos Heist,Motihari,3.9,20,Chinese,200,https://www.swiggy.com/restaurants/the-momos-heist-agarwa-motihari-489088
489090,Madurai Famous Jigarthanda,Trichy,3.8,20,Beverages,150,https://www.swiggy.com/restaurants/madurai-famous-jigarthanda-kk-nagar-trichy-489090
489128,Magilam,Erode,4.5,50,South Indian,250,https://www.swiggy.com/restaurants/magilam-central-erode-erode-489128
489129,Chinese Wok (Wok Express),Bangalore,3.8,100,Chinese,250,https://www.swiggy.com/restaurants/chinese-wok-wok-express-marathahalli-bangalore-489129
489130,Rolls & Bowls Company,Bangalore,3.6,50,Snacks,250,https://www.swiggy.com/restaurants/rolls-and-bowls-company-marathahalli-bangalore-489130
489148,Denzong Kitchen,Kolkata,3.8,50,Chinese,300,https://www.swiggy.com/restaurants/denzong-kitchen-lake-town-kolkata-489148
489160,Chakhna 24X7,Bikaner,3.5,20,Fast Food,250,https://www.swiggy.com/restaurants/chakhna-24x7-cyber-city-gurgaon-489160
489167,CHANDRALOK,Narsinghpur,4,20,Indian,300,https://www.swiggy.com/restaurants/chandralok-narsinghpur-narsinghpur-489167
489172,Shere Punjab Hotel,Madhubani,3.6,20,Indian,250,https://www.swiggy.com/restaurants/shere-punjab-hotel-madhubani-city-madhubani-489172
489194,Manisha Chinese Food,Anand,3.7,20,Chinese,200,https://www.swiggy.com/restaurants/manisha-chinese-food-bakrol-near-bakrol-square-anand-489194
489199,Sam s Roll s,Indore,3.5,20,Snacks,200,https://www.swiggy.com/restaurants/sam-s-roll-s-old-palasia-indore-489199
489234,SNACK HACK SHAWARMA,Rajahmundry,3.7,100,Chinese,350,https://www.swiggy.com/restaurants/snack-hack-shawarma-tilak-road-rajahmundry-489234
489235,Big Bowl Company,Bangalore,3.8,100,Chinese,250,https://www.swiggy.com/restaurants/big-bowl-company-marathahalli-bangalore-489235
489236,6 Ballygunge Place Takeaway,Kolkata,4.6,20,Indian,800,https://www.swiggy.com/restaurants/6-ballygunge-place-takeaway-north-dumdum-kolkata-489236
489237,The Momo Co,Hyderabad,3.5,20,Chinese,250,https://www.swiggy.com/restaurants/the-momo-co-kukatpally-hyderabad-489237
489239,Youth Food Court,Bhimavaram,2.4,20,South Indian,250,https://www.swiggy.com/restaurants/youth-food-court-somavaram-bhimavaram-489239
489240,SAMPIGE BIRIYANI,Bangalore,4.2,20,North Indian,250,https://www.swiggy.com/restaurants/sampige-biriyani-yelahanka-bangalore-489240
489242,Big Bowl Company,Hyderabad,3.4,50,North Indian,250,https://www.swiggy.com/restaurants/big-bowl-company-kukatpally-hyderabad-489242
489246,KK's Rolls N Rice,Chennai,3.6,20,Snacks,300,https://www.swiggy.com/restaurants/kks-rolls-n-rice-vadapalani-chennai-489246
489250,The Momo Co.,Hyderabad,3.6,50,Chinese,250,https://www.swiggy.com/restaurants/the-momo-co-gachibowli-hyderabad-489250
